file,avg_travel_time,median_travel_time,p90_travel_time,hour,high_congestion
matonwalk-1137.csv,6212.65,5741.5,9730.7,11.0,1
matonwalk-1138.csv,5361.8,5117.0,7953.2000000000035,11.0,1
matonwalk-1139.csv,4585.94,4788.0,6521.5,11.0,0
matonwalk-114.csv,4200.42,4227.0,5826.5,11.0,0
matonwalk-1140.csv,4229.85,4334.0,6094.900000000001,11.0,0
matonwalk-1141.csv,4621.41,4721.5,6561.9000000000015,11.0,0
matonwalk-1142.csv,5048.94,4928.5,6984.800000000003,11.0,1
matonwalk-1143.csv,4994.79,4997.0,6930.400000000001,11.0,1
matonwalk-1144.csv,5420.68,5407.5,7571.800000000003,11.0,1
matonwalk-1145.csv,5946.43,5676.0,9191.200000000003,11.0,1
matonwalk-1146.csv,6659.63,6214.0,10194.2,11.0,1
matonwalk-1147.csv,7927.69,6967.5,14056.200000000008,11.0,1
matonwalk-1148.csv,9653.58,8044.0,16824.9,11.0,1
matonwalk-1149.csv,10356.54,8034.5,18760.000000000004,11.0,1
matonwalk-115.csv,3924.49,3874.5,5602.5,11.0,0
matonwalk-1150.csv,11083.13,8101.5,20317.3,11.0,1
matonwalk-1151.csv,13491.11,16004.0,18285.500000000004,11.0,1
matonwalk-1152.csv,10625.83,6204.0,19209.6,11.0,1
matonwalk-1153.csv,9077.57,6152.0,19468.600000000002,11.0,1
matonwalk-1154.csv,8033.62,5689.0,18344.300000000007,11.0,1
matonwalk-1155.csv,7306.83,5689.0,16104.0,11.0,1
matonwalk-1156.csv,8748.19,5689.0,18035.0,11.0,1
matonwalk-1157.csv,10653.91,5689.0,30144.000000000004,11.0,1
matonwalk-1158.csv,13222.9,10015.0,33123.8,11.0,1
matonwalk-1159.csv,15959.4,10015.0,35516.8,11.0,1
matonwalk-116.csv,3733.56,3708.5,5572.8,11.0,0
matonwalk-1160.csv,16667.1,6204.0,35566.600000000006,11.0,1
matonwalk-1161.csv,16858.21,5602.0,37728.0,11.0,1
matonwalk-1162.csv,17055.07,5493.5,40952.9,11.0,1
matonwalk-1163.csv,19667.82,6204.0,42143.700000000004,11.0,1
matonwalk-1164.csv,21844.27,6564.5,42521.50000000001,11.0,1
matonwalk-1165.csv,28421.99,33693.0,44613.200000000004,11.0,1
matonwalk-1166.csv,21605.9,6564.5,41672.0,11.0,1
matonwalk-1167.csv,4411.43,4459.5,6885.400000000001,11.0,0
matonwalk-1168.csv,3734.54,3713.0,5681.5,11.0,0
matonwalk-1169.csv,3580.24,3600.0,5674.900000000001,11.0,0
matonwalk-117.csv,3788.39,3788.0,5629.6,11.0,0
matonwalk-1170.csv,3957.26,4122.5,5732.0,11.0,0
matonwalk-1171.csv,4397.43,4357.5,6098.8,11.0,0
matonwalk-1172.csv,4581.4,4611.0,6186.0,11.0,0
matonwalk-1173.csv,4360.56,4645.5,6165.3,11.0,0
matonwalk-1174.csv,4003.72,4002.0,5850.6,11.0,0
matonwalk-1175.csv,3772.41,3805.0,5272.000000000001,11.0,0
matonwalk-1176.csv,3328.11,3311.5,4987.300000000001,11.0,0
matonwalk-1177.csv,3416.31,3254.5,4919.8,11.0,0
matonwalk-1178.csv,3306.13,3283.0,4819.200000000001,11.0,0
matonwalk-1179.csv,3142.19,2981.5,5112.9000000000015,11.0,0
matonwalk-118.csv,3582.62,3423.0,5634.200000000001,11.0,0
matonwalk-1180.csv,4030.89,3923.0,6073.600000000001,11.0,0
matonwalk-1181.csv,4948.52,4741.0,7444.600000000005,11.0,1
matonwalk-1182.csv,6066.48,5777.5,9667.500000000004,11.0,1
matonwalk-1183.csv,6764.02,6431.0,11429.500000000002,11.0,1
matonwalk-1184.csv,6429.57,5936.0,11886.400000000001,11.0,1
matonwalk-1185.csv,6362.65,5982.0,12263.900000000001,11.0,1
matonwalk-1186.csv,6639.46,5953.0,12762.500000000004,11.0,1
matonwalk-1187.csv,7306.1,6374.5,13712.500000000002,11.0,1
matonwalk-1188.csv,7150.58,6237.0,12757.900000000001,11.0,1
matonwalk-1189.csv,7169.69,6485.0,12061.7,11.0,1
matonwalk-119.csv,4181.25,4080.5,6221.400000000001,11.0,0
matonwalk-1190.csv,6949.85,6246.0,10988.500000000004,11.0,1
matonwalk-1191.csv,5756.35,5575.0,8276.000000000002,11.0,1
matonwalk-1192.csv,5226.47,5315.0,7455.3,11.0,1
matonwalk-1193.csv,4495.77,4746.5,6231.200000000001,11.0,0
matonwalk-1194.csv,4258.12,4316.0,6204.0,11.0,0
matonwalk-1195.csv,4655.78,4883.0,6474.500000000001,11.0,0
matonwalk-1196.csv,4826.39,4931.0,6677.500000000002,11.0,1
matonwalk-1197.csv,5260.47,5298.5,6958.800000000003,11.0,1
matonwalk-1198.csv,5613.55,5311.5,8751.2,11.0,1
matonwalk-1199.csv,7030.03,6916.5,11017.100000000002,11.0,1
matonwalk-12.csv,5051.97,4772.0,8424.300000000001,12.0,1
