stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon
0101RJI,6,1,1,1,Ruiru Road Junction,-1.152135,36.91984
0101RKJ,6,1,2,1,Ruaka Junction,-1.207095981,36.78598166
0101RMY,6,1,2,1,Rumenye,-1.19961,36.75794
0101ROK,6,1,5,1,Rosslyn Road/Karura Community Chapel,-1.216499805,36.79930687
0101ROR,6,1,5,1,Rosslyn Road/Riviera,-1.217250824,36.80042267
0101RSH,6,1,1,1,Roslyn Heights,-1.223669,36.782832
0101RUA,6,1,1,1,Marurui,-1.210805833,36.8751812
0101RUD,6,1,1,1,Runda Road,-1.215523,36.815038
0101SDA,6,1,1,1,SDA Church,-1.223143,36.781961
0101SHR,6,1,5,1,Shakers/Rosslyn Gate,-1.21115,36.79024
0101SHT,6,1,2,1,Sacred Heart,-1.186283,36.767421
0101SLT,6,1,2,1,Slaughter,-1.20523,36.77754
0101STP,6,1,6,1,Stima Plaza,-1.27043,36.82048
0101TIG,7,1,1,1,Tigoni,-1.126739,36.671944
0101VRY,6,1,2,1,Victory,-1.181719,36.762391
0101WBR,6,1,6,1,Wambugu Road,-1.26799,36.82127
0101WIA,6,1,1,1,Kwa Kuria,-1.218400365,36.774652
0101WID,6,1,1,1,Windsor Advice,-1.215566,36.850327
0101YSA,6,1,1,1,Nyari West,-1.224193937,36.78374469
0101ZAK,6,1,2,1,Zakawa,-1.179181,36.760914
0102KHJ,6,1,21,1,Koja,-1.281428,36.822532
0102KHJ,7,1,1,1,Koja,-1.281428,36.822532
0103MSQ,6,1,1,1,Kwa Mosque/Highridge Mwisho,-1.25687,36.81077
0110/PU,6,1,1,1,UNEP/KTTC,-1.238447195,36.81041658
0110AAN,6,1,1,1,Oilibya/2nd Parklands Avenue,-1.264200211,36.8246913
0110ACG,6,1,1,1,Gachie,-1.181385845,36.7275551
0110AEA,6,1,1,1,Shell Banana,-1.175848246,36.75952971
0110AGK,6,1,4,1,Aga Khan Academy,-1.266404986,36.82319462
0110AGK,7,1,2,1,Aga Khan Academy,-1.266404986,36.82319462
0110AIG,6,1,1,1,Gacharaini,-1.201715469,36.76474392
0110AOA,7,1,1,1,Mwambao,-1.256713003,36.82633013
0110AOH,6,1,1,1,Mama Shop,-1.1517528,36.93119645
0110APS,6,1,1,1,Aga Khan Hospital Stage,-1.26198,36.8227
0110APT,6,1,1,1,Aga Khan Hospital Stage 2,-1.26277,36.82467
0110ASP,6,1,2,1,Stima Plaza,-1.270036697,36.82055533
0110AST,6,1,2,1,Ambassadors Stage,-1.19864,36.75634
0110AUK,7,1,1,1,Karura,-1.24724865,36.81577563
0110BAA,6,1,2,1,Banana Terminus,-1.174235,36.758765
0110BDO,6,1,1,1,Boda,-1.210380524,36.78958386
0110BLV,6,1,1,1,6th Parklands Avenue/Regal House/Kobil,-1.257905424,36.82689607
0110BNI,6,1,1,1,Kobil banana,-1.174563825,36.75899327
0110BUK,6,1,1,1,Kabuku Junction Stage,-1.150767,36.668272
